x1,eval
"[2.75, 6.93, 3.72, 0.44, 4.69, 5.79, 1.98, 3.67]",8
"[2.75, 6.93, 3.72, 0.44, 4.69, 5.79, 1.98, 3.67]",8
"[2.75, 6.93, 3.72, 0.44, 4.69, 5.79, 1.98, 3.67]",8
"[2.75, 6.93, 3.72, 0.44, 4.69, 5.79, 1.98, 3.67]",8
"[2.75, 6.93, 3.72, 0.44, 4.69, 5.79, 1.98, 3.67]",8
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[2.65, 5.53, 3.8, 0.86, 2.8, 5.32, 1.9, 6.85, 4.11]",6
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 0.3, 1.5, 3.8, 5.32, 2.65, 2.02]",4
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
"[6.04, 4.46, 2.65, 0.3, 5.32, 3.02, 1.5, 3.8]",2
