x1,eval
"[7.87, 0.65, 13.85, 0.86, 7.85, 5.4, 5.66, 12.16, 15.18, 8.9, 8.57, 6.29, 8.8, 9.82, 5.23, 5.35, 12.61]",2768
"[7.87, 0.65, 13.85, 0.86, 7.85, 5.4, 5.66, 12.16, 15.18, 8.9, 8.57, 6.29, 8.8, 9.82, 5.23, 5.35, 12.61]",2768
"[7.87, 0.65, 13.85, 0.86, 7.85, 5.4, 5.66, 12.16, 15.18, 8.9, 8.57, 6.29, 8.8, 9.82, 5.23, 5.35, 12.61]",2768
"[11.79, 15.02, 0.6, 6.79, 6.22, 5.95, 0.26, 0.67, 6.81, 8.57, 6.29, 10.36, 5.22, 3.74, 3.65, 7.6, 6.8]",2291
"[11.79, 15.02, 0.6, 6.79, 6.22, 5.95, 0.26, 0.67, 6.81, 8.57, 6.29, 10.36, 5.22, 3.74, 3.65, 7.6, 6.8]",2291
"[6.29, 10.36, 5.22, 3.74, 3.65, 7.6, 7.87, 6.79, 6.22, 5.95, 0.26, 0.67, 6.81, 8.57, 0.65, 13.85, 0.86]",2040
"[3.74, 6.89, 13.49, 5.93, 3.48, 6.42, 12.24, 6.22, 6.68, 0.98, 7.41, 13.8, 14.76, 7.95, 12.48, 11.09, 7.75, 7.14]",1908
"[11.09, 3.48, 6.42, 12.24, 6.22, 6.68, 0.98, 7.41, 13.8, 14.76, 7.95, 12.48, 7.75, 7.14, 8.32, 3.74, 3.05]",1755
"[7.41, 13.8, 6.79, 7.89, 6.89, 7.95, 12.48, 3.86, 3.19, 13.49, 5.93, 3.48, 6.42, 12.24, 6.22, 6.68, 0.98]",1232
"[7.41, 13.8, 6.79, 7.89, 6.89, 7.95, 12.48, 3.86, 3.19, 13.49, 5.93, 3.48, 6.42, 12.24, 6.22, 6.68, 0.98]",1232
"[13.49, 5.93, 12.48, 3.86, 3.19, 6.89, 3.48, 6.42, 12.24, 6.22, 6.73, 3.74, 3.65, 7.6, 7.87, 6.79, 5.95]",919
"[12.7, 3.74, 6.89, 12.24, 6.22, 5.22, 3.65, 7.6, 7.87, 6.79, 6.81, 7.41, 13.8, 7.89, 7.95, 12.48, 3.86, 3.19]",882
"[12.7, 3.74, 6.89, 12.24, 6.22, 5.22, 3.65, 7.6, 7.87, 6.79, 6.81, 7.41, 13.8, 7.89, 7.95, 12.48, 3.86, 3.19]",882
"[7.89, 7.6, 7.87, 6.79, 6.81, 7.41, 13.8, 6.89, 7.95, 12.48, 3.86, 3.19, 3.74, 3.65, 12.56, 3.48, 6.73]",600
"[7.89, 7.6, 7.87, 6.79, 6.81, 7.41, 13.8, 6.89, 7.95, 12.48, 3.86, 3.19, 3.74, 3.65, 12.56, 3.48, 6.73]",600
"[7.89, 7.6, 7.87, 6.79, 6.81, 7.41, 13.8, 6.89, 7.95, 12.48, 3.86, 3.19, 3.74, 3.65, 12.56, 3.48, 6.73]",600
"[6.79, 6.81, 7.41, 13.8, 7.89, 7.6, 7.87, 6.89, 7.95, 12.48, 3.86, 3.19, 3.74, 3.65, 12.56, 3.48, 6.73]",529
"[6.79, 6.81, 7.41, 13.8, 7.89, 7.6, 7.87, 6.89, 7.95, 12.48, 3.86, 3.19, 3.74, 3.65, 12.56, 3.48, 6.73]",529
"[6.79, 6.81, 7.41, 13.8, 7.89, 7.6, 7.87, 6.89, 7.95, 12.48, 3.86, 3.19, 3.74, 3.65, 12.56, 3.48, 6.73]",529
"[6.79, 6.81, 7.41, 13.8, 7.89, 7.6, 7.87, 6.89, 7.95, 12.48, 3.86, 3.19, 3.74, 3.65, 12.56, 3.48, 6.73]",529
"[6.79, 6.81, 7.41, 13.8, 7.89, 7.6, 7.87, 6.89, 7.95, 12.48, 3.86, 3.19, 3.74, 3.65, 12.56, 3.48, 6.73]",529
"[6.79, 6.81, 7.41, 13.8, 7.89, 7.6, 7.87, 6.89, 7.95, 12.48, 3.86, 3.19, 3.74, 3.65, 12.56, 3.48, 6.73]",529
"[3.86, 3.19, 3.74, 3.65, 12.56, 6.29, 6.89, 7.89, 7.6, 7.87, 6.79, 6.81, 7.41, 13.8, 7.95, 12.48, 3.48]",472
"[6.79, 3.86, 6.29, 6.89, 7.89, 7.6, 7.87, 7.95, 12.48, 3.19, 3.74, 3.65, 12.56, 0.26, 0.67, 6.42, 6.81]",455
"[6.79, 3.86, 6.29, 6.89, 7.89, 7.6, 7.87, 7.95, 12.48, 3.19, 3.74, 3.65, 12.56, 0.26, 0.67, 6.42, 6.81]",455
"[7.87, 7.89, 6.29, 6.89, 6.79, 6.81, 7.95, 3.86, 3.19, 3.74, 3.65, 12.56, 3.48, 12.48, 0.26, 0.67, 6.42, 6.73]",423
"[6.29, 6.89, 6.79, 7.89, 7.6, 7.87, 7.95, 3.86, 12.48, 3.19, 3.74, 3.65, 12.56, 0.26, 0.67, 6.42, 6.81]",365
"[6.29, 6.89, 6.79, 7.89, 7.6, 7.87, 7.95, 3.86, 12.48, 3.19, 3.74, 3.65, 12.56, 0.26, 0.67, 6.42, 6.81]",365
