x1,eval
"[5.97, 5.64, 6.77, 5.44, 3.87, 6.53, 8.4, 6.19, 11.34, 3.03, 0.4, 7.96, 11.31, 0.34, 12.67, 5.75, 0.68]",2640
"[5.97, 5.64, 6.77, 5.44, 3.87, 6.53, 8.4, 6.19, 11.34, 3.03, 0.4, 7.96, 11.31, 0.34, 12.67, 5.75, 0.68]",2640
"[5.97, 5.64, 6.77, 5.44, 3.87, 6.53, 8.4, 6.19, 11.34, 3.03, 0.4, 7.96, 11.31, 0.34, 12.67, 5.75, 0.68]",2640
"[3.03, 0.4, 7.96, 5.97, 5.64, 6.77, 5.44, 3.87, 6.53, 8.4, 6.19, 11.34, 11.31, 0.34, 12.67, 5.75, 0.68]",2061
"[0.4, 8.99, 3.82, 5.67, 12.58, 13.3, 5.12, 5.63, 0.79, 5.0, 5.44, 3.29, 5.28, 2.47, 10.04, 14.05, 0.15]",2057
"[3.87, 6.53, 8.4, 6.19, 5.67, 7.71, 5.97, 5.64, 6.77, 7.96, 3.03, 0.4, 5.44, 11.34, 11.31, 0.34, 12.67]",1860
"[6.77, 5.44, 3.87, 6.53, 8.4, 6.19, 11.34, 11.31, 0.34, 12.67, 0.4, 3.03, 5.67, 7.71, 5.97, 5.64, 7.96]",1827
"[6.19, 8.4, 11.34, 11.31, 0.34, 3.03, 0.4, 5.67, 7.71, 5.97, 5.64, 6.77, 3.87, 7.96, 5.44, 6.53, 12.67]",1487
"[6.77, 7.96, 3.03, 0.4, 5.44, 7.81, 6.53, 5.67, 7.71, 5.97, 5.64, 12.77, 2.17, 12.34, 5.0, 3.29, 5.28]",1420
"[5.97, 5.64, 6.53, 5.67, 7.71, 6.77, 7.96, 3.03, 0.4, 5.44, 7.81, 12.77, 2.17, 12.34, 5.0, 3.29, 5.28]",1371
"[5.67, 7.71, 5.97, 6.77, 12.77, 12.58, 5.64, 3.87, 6.53, 8.4, 6.31, 5.0, 5.44, 3.29, 5.28, 6.19, 7.96]",1351
"[0.4, 7.96, 7.81, 5.44, 5.67, 3.03, 3.87, 0.34, 6.77, 6.53, 7.71, 5.97, 5.64, 12.77, 2.17, 12.34, 5.0]",1220
"[5.64, 6.77, 6.53, 0.04, 3.29, 5.28, 2.47, 6.31, 5.0, 5.44, 5.97, 5.67, 7.71, 7.96, 3.03, 0.4, 7.81]",1123
"[5.97, 12.77, 12.58, 0.4, 7.96, 7.81, 5.44, 5.67, 3.03, 3.87, 0.34, 6.77, 6.53, 7.71, 5.64, 2.17, 12.34, 5.0]",1061
"[5.97, 12.77, 12.58, 0.4, 7.96, 7.81, 5.44, 5.67, 3.03, 3.87, 0.34, 6.77, 6.53, 7.71, 5.64, 2.17, 12.34, 5.0]",1061
"[5.44, 6.53, 7.71, 7.81, 5.0, 3.29, 12.77, 12.58, 0.4, 7.96, 5.67, 3.03, 3.87, 0.34, 6.77, 5.97, 5.64]",865
"[5.44, 6.53, 7.71, 7.81, 5.0, 3.29, 12.77, 12.58, 0.4, 7.96, 5.67, 3.03, 3.87, 0.34, 6.77, 5.97, 5.64]",865
"[5.44, 5.67, 6.53, 7.71, 7.81, 5.0, 3.29, 12.77, 12.58, 0.4, 7.96, 3.03, 3.87, 0.34, 6.77, 5.97, 5.64]",816
"[5.44, 5.67, 6.53, 7.71, 7.81, 5.0, 3.29, 12.77, 12.58, 0.4, 7.96, 3.03, 3.87, 0.34, 6.77, 5.97, 5.64]",816
"[5.44, 6.53, 7.71, 7.81, 5.0, 3.29, 12.77, 12.58, 0.4, 3.03, 12.34, 7.96, 6.77, 5.97, 5.67, 5.28, 5.64]",621
"[5.67, 5.0, 5.44, 7.96, 3.03, 3.87, 6.53, 7.71, 7.81, 3.29, 12.77, 12.58, 0.4, 0.34, 6.77, 5.97, 5.64]",590
"[5.67, 5.0, 5.44, 7.96, 3.03, 3.87, 6.53, 7.71, 7.81, 3.29, 12.77, 12.58, 0.4, 0.34, 6.77, 5.97, 5.64]",590
"[5.44, 5.67, 6.53, 7.71, 12.58, 0.4, 0.34, 6.77, 12.77, 12.34, 3.03, 3.87, 7.96, 7.81, 5.0, 5.97, 5.64]",523
"[5.67, 7.71, 7.81, 5.28, 5.0, 5.44, 7.96, 12.77, 12.58, 3.03, 3.87, 6.53, 0.4, 0.34, 6.77, 5.97, 5.64]",497
"[5.67, 7.71, 7.81, 5.28, 5.0, 5.44, 7.96, 12.77, 12.58, 3.03, 3.87, 6.53, 0.4, 0.34, 6.77, 5.97, 5.64]",497
"[5.67, 7.71, 7.81, 5.28, 5.0, 5.44, 7.96, 12.77, 12.58, 3.03, 3.87, 6.53, 0.4, 0.34, 6.77, 5.97, 5.64]",497
"[5.67, 7.71, 7.81, 5.28, 5.0, 5.44, 7.96, 12.77, 12.58, 3.03, 3.87, 6.53, 0.4, 0.34, 6.77, 5.97, 5.64]",497
"[7.96, 12.58, 0.4, 0.34, 6.77, 12.77, 12.34, 3.03, 3.87, 6.53, 5.28, 5.0, 5.64, 5.97, 5.44, 5.67, 7.71, 7.81]",466
"[7.96, 12.58, 0.4, 0.34, 6.77, 12.77, 12.34, 3.03, 3.87, 6.53, 5.28, 5.0, 5.64, 5.97, 5.44, 5.67, 7.71, 7.81]",466
"[7.96, 12.58, 0.4, 0.34, 6.77, 12.77, 12.34, 3.03, 3.87, 6.53, 5.28, 5.0, 5.64, 5.97, 5.44, 5.67, 7.71, 7.81]",466
"[3.03, 3.87, 3.29, 12.77, 12.58, 12.34, 5.44, 5.28, 5.0, 5.97, 6.77, 6.53, 5.64, 5.67, 7.71, 7.81, 7.96]",375
"[3.03, 3.87, 3.29, 12.77, 12.58, 12.34, 5.44, 5.28, 5.0, 5.97, 6.77, 6.53, 5.64, 5.67, 7.71, 7.81, 7.96]",375
"[3.03, 3.87, 3.29, 12.77, 12.58, 12.34, 5.44, 5.28, 5.0, 5.97, 6.77, 6.53, 5.64, 5.67, 7.71, 7.81, 7.96]",375
"[5.67, 7.71, 7.81, 7.96, 12.77, 12.58, 3.03, 3.87, 3.29, 12.34, 5.44, 5.28, 5.0, 5.97, 6.77, 6.53, 5.64]",365
"[5.67, 7.71, 7.81, 7.96, 12.77, 12.58, 3.03, 3.87, 3.29, 12.34, 5.44, 5.28, 5.0, 5.97, 6.77, 6.53, 5.64]",365
"[5.67, 7.71, 7.81, 7.96, 12.77, 12.58, 3.03, 3.87, 3.29, 12.34, 5.44, 5.28, 5.0, 5.97, 6.77, 6.53, 5.64]",365
"[5.67, 7.71, 7.81, 7.96, 12.77, 12.58, 3.03, 3.87, 3.29, 12.34, 5.44, 5.28, 5.0, 5.97, 6.77, 6.53, 5.64]",365
"[6.77, 6.53, 5.64, 5.67, 3.03, 3.87, 3.29, 12.77, 12.58, 12.34, 5.44, 5.28, 5.0, 5.97, 7.71, 7.81, 7.96]",356
"[6.77, 6.53, 5.64, 5.67, 3.03, 3.87, 3.29, 12.77, 12.58, 12.34, 5.44, 5.28, 5.0, 5.97, 7.71, 7.81, 7.96]",356
"[6.77, 6.53, 7.71, 7.81, 3.03, 3.87, 3.29, 12.77, 12.58, 12.34, 5.44, 5.28, 5.0, 5.97, 5.64, 5.67, 7.96]",307
"[5.44, 5.28, 5.0, 5.97, 5.67, 7.71, 7.81, 7.96, 12.77, 12.58, 3.03, 3.87, 3.29, 12.34, 6.77, 6.53, 5.64]",266
