x1,eval
"[4.27, 1.86, 7.62, 9.41, 3.2, 10.47, 2.6, 5.87, 5.98, 1.58, 4.93, 3.75]",16
"[4.27, 1.86, 7.62, 9.41, 3.2, 10.47, 2.6, 5.87, 5.98, 1.58, 4.93, 3.75]",16
"[4.27, 1.86, 7.62, 9.41, 3.2, 10.47, 2.6, 5.87, 5.98, 1.58, 4.93, 3.75]",16
"[4.06, 0.82, 6.6, 0.37, 2.45, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47, 2.6, 5.87]",14
"[3.2, 10.47, 2.6, 5.87, 5.98, 8.93, 8.1, 6.03, 4.27, 1.86, 7.62, 9.41]",10
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
"[2.6, 5.87, 7.06, 0.97, 0.82, 6.6, 4.27, 1.86, 7.62, 9.41, 3.2, 10.47]",6
