x1,eval
"[13.68, 2.47, 4.58, 10.24, 11.74, 8.13, 12.69, 3.26, 3.99, 3.92, 7.67, 6.86, 12.09, 11.89, 12.8, 4.55, 5.39]",2457
"[13.68, 2.47, 4.58, 10.24, 11.74, 8.13, 12.69, 3.26, 3.99, 3.92, 7.67, 6.86, 12.09, 11.89, 12.8, 4.55, 5.39]",2457
"[13.68, 2.47, 4.58, 10.24, 11.74, 8.13, 12.69, 3.26, 3.99, 3.92, 7.67, 6.86, 12.09, 11.89, 12.8, 4.55, 5.39]",2457
"[7.9, 13.35, 7.47, 13.9, 5.18, 6.27, 5.86, 4.56, 13.68, 2.47, 4.58, 10.24, 11.74, 8.13, 12.69, 3.26, 3.99, 3.92, 7.67, 6.86, 12.09]",2364
"[6.27, 13.68, 2.47, 5.18, 5.86, 4.56, 4.58, 10.24, 11.74, 8.13, 12.69, 3.26, 3.99, 3.92, 7.67, 6.86, 12.09]",1638
"[6.27, 13.68, 2.47, 5.18, 5.86, 4.56, 4.58, 10.24, 11.74, 8.13, 12.69, 3.26, 3.99, 3.92, 7.67, 6.86, 12.09]",1638
"[6.27, 13.68, 2.47, 5.18, 5.86, 4.56, 4.58, 10.24, 11.74, 8.13, 12.69, 3.26, 3.99, 3.92, 7.67, 6.86, 12.09]",1638
"[3.24, 3.92, 7.67, 6.86, 12.09, 7.9, 13.35, 13.68, 2.47, 4.58, 10.24, 11.74, 8.13, 12.69, 3.26, 3.99, 0.89, 12.18]",1595
"[3.99, 3.26, 3.92, 13.9, 5.18, 6.27, 0.89, 12.18, 3.91, 5.35, 12.82, 13.42, 7.96, 2.6, 14.98, 14.83, 12.21]",1419
"[3.99, 3.26, 3.92, 13.9, 5.18, 6.27, 0.89, 12.18, 3.91, 5.35, 12.82, 13.42, 7.96, 2.6, 14.98, 14.83, 12.21]",1419
"[12.69, 3.26, 3.99, 3.92, 7.67, 7.88, 5.18, 6.27, 3.91, 12.21, 2.74, 14.13, 2.47, 10.94, 13.68, 5.86, 0.89, 12.18, 12.82]",1249
"[5.74, 3.03, 0.89, 12.18, 3.91, 12.76, 7.96, 3.92, 3.99, 7.0, 7.88, 5.35, 12.82, 13.42, 2.6, 14.98, 14.83]",1125
