x1,eval
"[3.45, 6.76, 3.74, 0.54, 2.79, 5.16, 1.28, 6.38]",8
"[3.45, 6.76, 3.74, 0.54, 2.79, 5.16, 1.28, 6.38]",8
"[3.45, 6.76, 3.74, 0.54, 2.79, 5.16, 1.28, 6.38]",8
"[3.45, 6.76, 3.74, 0.54, 2.79, 5.16, 1.28, 6.38]",8
"[3.45, 6.76, 3.74, 0.54, 2.79, 5.16, 1.28, 6.38]",8
"[3.45, 6.76, 3.74, 0.54, 2.79, 5.16, 1.28, 6.38]",8
"[3.45, 6.76, 3.74, 0.54, 2.79, 5.16, 1.28, 6.38]",8
"[3.45, 6.76, 3.74, 0.54, 2.79, 5.16, 1.28, 6.38]",8
"[5.97, 1.28, 2.67, 0.56, 3.7, 6.39, 2.22, 5.8]",6
"[5.97, 1.28, 2.67, 0.56, 3.7, 6.39, 2.22, 5.8]",6
"[5.97, 1.28, 2.67, 0.56, 3.7, 6.39, 2.22, 5.8]",6
"[5.97, 1.28, 2.67, 0.56, 3.7, 6.39, 2.22, 5.8]",6
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[6.99, 4.74, 1.35, 5.97, 0.56, 3.7, 6.39, 2.16]",4
"[4.74, 6.39, 3.7, 0.56, 6.99, 1.35, 5.97, 2.16]",2
