x1,eval
"[12.7, 10.4, 8.31, 4.16, 4.07, 3.09, 3.51, 7.3, 4.59, 0.46, 7.28, 12.0, 12.17, 0.22, 3.08, 2.75, 2.76]",2968
"[12.7, 10.4, 8.31, 4.16, 4.07, 3.09, 3.51, 7.3, 4.59, 0.46, 7.28, 12.0, 12.17, 0.22, 3.08, 2.75, 2.76]",2968
"[12.7, 10.4, 8.31, 4.16, 4.07, 3.09, 3.51, 7.3, 4.59, 0.46, 7.28, 12.0, 12.17, 0.22, 3.08, 2.75, 2.76]",2968
"[5.28, 3.23, 10.26, 10.04, 10.44, 2.23, 13.76, 3.58, 13.26, 5.39, 8.79, 5.41, 12.27, 0.77, 12.56, 5.8, 13.95, 10.5, 5.56, 7.98]",2496
"[5.41, 7.98, 13.03, 10.04, 10.44, 2.23, 13.76, 3.58, 8.15, 15.5, 0.08, 6.21, 5.42, 6.35, 13.21, 13.99, 2.72, 12.42]",2019
"[10.04, 10.44, 2.23, 13.76, 3.58, 12.0, 12.17, 13.26, 5.39, 8.79, 5.41, 12.27, 0.77, 12.56, 5.8, 13.95, 10.5]",1766
"[10.04, 10.44, 2.23, 13.76, 3.58, 12.0, 12.17, 13.26, 5.39, 8.79, 5.41, 12.27, 0.77, 12.56, 5.8, 13.95, 10.5]",1766
"[10.04, 10.44, 2.23, 13.76, 3.58, 12.0, 12.17, 13.26, 5.39, 8.79, 5.41, 12.27, 0.77, 12.56, 5.8, 13.95, 10.5]",1766
"[13.26, 5.39, 5.41, 12.27, 0.77, 12.56, 8.79, 7.01, 10.04, 10.44, 2.23, 13.76, 3.58, 12.0, 12.17, 5.8, 13.95]",1597
"[10.26, 10.04, 10.44, 2.23, 13.76, 5.39, 12.27, 0.77, 12.56, 13.95, 13.26, 5.28, 3.23, 3.58, 8.79, 5.41, 5.8]",1529
"[10.26, 10.04, 10.44, 2.23, 13.76, 5.39, 12.27, 0.77, 12.56, 13.95, 13.26, 5.28, 3.23, 3.58, 8.79, 5.41, 5.8]",1529
"[5.39, 5.8, 10.26, 10.04, 10.44, 2.23, 13.76, 12.27, 0.77, 12.56, 13.95, 13.26, 5.28, 3.23, 3.58, 8.79, 5.41]",1486
"[5.39, 8.79, 12.27, 0.77, 12.56, 5.8, 10.26, 10.04, 10.44, 2.23, 13.76, 13.95, 13.26, 5.28, 3.23, 3.58, 5.41]",1413
"[13.95, 13.26, 5.28, 5.39, 5.8, 10.26, 10.04, 10.44, 2.23, 13.76, 12.27, 0.77, 12.56, 3.23, 3.58, 8.79, 5.41]",1353
"[2.23, 13.76, 13.26, 5.41, 0.77, 12.56, 7.01, 5.39, 3.58, 12.0, 12.17, 12.27, 2.24, 13.35, 5.28, 10.26, 10.04]",1336
"[10.26, 10.04, 10.44, 2.23, 13.76, 13.95, 13.26, 5.28, 5.39, 8.79, 3.58, 3.23, 12.27, 0.77, 12.56, 5.41, 5.8]",1186
