x1,eval
"[3.7, 10.11, 10.88, 7.68, 12.58, 3.46, 12.81, 13.65, 2.51, 14.11, 8.31, 3.06, 8.23, 4.63, 0.76, 6.4, 15.6]",3100
"[3.7, 10.11, 10.88, 7.68, 12.58, 3.46, 12.81, 13.65, 2.51, 14.11, 8.31, 3.06, 8.23, 4.63, 0.76, 6.4, 15.6]",3100
"[3.7, 10.11, 10.88, 7.68, 12.58, 3.46, 12.81, 13.65, 2.51, 14.11, 8.31, 3.06, 8.23, 4.63, 0.76, 6.4, 15.6]",3100
"[10.37, 4.62, 3.39, 3.38, 6.23, 9.85, 9.93, 12.65, 5.88, 13.6, 5.9, 5.51, 5.93, 6.18, 5.64, 7.69, 14.21, 3.68]",2585
"[6.3, 10.37, 4.62, 3.39, 3.38, 6.23, 9.85, 9.93, 12.65, 5.88, 13.6, 5.9, 5.51, 5.93, 6.18, 5.64, 7.69, 14.21]",2521
"[12.95, 3.19, 6.02, 12.41, 14.22, 12.58, 3.46, 12.81, 13.65, 2.51, 14.11, 8.31, 3.06, 8.23, 12.05, 6.76, 13.31, 3.24]",2209
"[13.65, 2.51, 14.11, 8.31, 3.06, 8.23, 12.05, 12.95, 3.19, 6.02, 12.41, 14.22, 12.58, 3.46, 12.81, 6.76, 13.31]",1855
"[13.65, 2.51, 14.11, 8.31, 3.06, 8.23, 12.05, 12.95, 3.19, 6.02, 12.41, 14.22, 12.58, 3.46, 12.81, 6.76, 13.31]",1855
"[14.22, 13.65, 12.95, 3.19, 6.02, 12.41, 12.58, 3.46, 12.81, 2.51, 14.11, 8.31, 3.06, 8.23, 12.05, 6.76, 13.31]",1827
"[3.06, 3.46, 0.39, 5.22, 7.46, 2.52, 13.42, 10.11, 13.44, 2.24, 14.21, 3.68, 3.19, 6.02, 12.41, 14.22, 12.58, 12.81]",1792
"[13.65, 12.56, 3.31, 5.91, 14.02, 5.51, 5.93, 6.18, 12.65, 12.95, 3.19, 6.02, 12.41, 14.22, 12.58, 3.46, 12.81]",1402
"[14.22, 12.56, 2.74, 5.37, 5.51, 5.93, 6.18, 12.65, 12.95, 3.19, 6.02, 12.41, 12.58, 3.46, 12.81, 13.65, 2.51, 14.11]",1092
"[14.22, 12.56, 2.74, 5.37, 5.51, 5.93, 6.18, 12.65, 12.95, 3.19, 6.02, 12.41, 12.58, 3.46, 12.81, 13.65, 2.51, 14.11]",1092
"[12.41, 14.22, 13.44, 14.02, 5.51, 5.93, 5.91, 12.05, 12.95, 12.56, 3.31, 7.89, 3.46, 6.18, 12.65, 3.19, 6.02, 12.58]",1034
"[3.31, 3.19, 6.02, 12.41, 13.65, 14.22, 13.44, 14.02, 5.51, 5.93, 7.07, 13.6, 6.18, 12.65, 12.95, 12.58, 3.46, 12.81]",983
"[6.02, 5.37, 5.51, 5.93, 6.18, 12.65, 12.95, 3.19, 12.41, 12.58, 3.46, 12.81, 12.56, 3.31, 5.91, 14.02, 14.22, 13.65]",758
"[6.02, 5.37, 5.51, 5.93, 6.18, 12.65, 12.95, 3.19, 12.41, 12.58, 3.46, 12.81, 12.56, 3.31, 5.91, 14.02, 14.22, 13.65]",758
"[5.51, 6.02, 5.37, 5.93, 6.18, 12.65, 12.95, 3.19, 12.41, 12.58, 3.46, 12.81, 12.56, 3.31, 5.91, 14.02, 14.22]",737
"[5.91, 13.65, 13.44, 12.65, 12.95, 12.81, 6.02, 5.37, 5.51, 5.93, 6.18, 3.19, 12.41, 12.58, 3.46, 12.56, 3.31]",728
"[12.56, 5.91, 13.65, 13.44, 12.65, 12.95, 12.81, 6.02, 5.37, 5.51, 5.93, 6.18, 3.19, 12.41, 12.58, 3.46, 3.31]",664
"[12.65, 12.95, 3.19, 12.56, 5.91, 13.65, 13.44, 12.81, 6.02, 5.37, 5.51, 5.93, 6.18, 12.41, 12.58, 3.46, 3.31]",661
"[12.56, 12.95, 3.19, 12.41, 6.02, 12.81, 12.65, 5.91, 13.65, 13.44, 5.37, 5.51, 5.93, 6.18, 12.58, 3.46, 3.31]",605
"[12.56, 12.95, 3.19, 12.41, 6.02, 12.81, 12.65, 5.91, 13.65, 13.44, 5.37, 5.51, 5.93, 6.18, 12.58, 3.46, 3.31]",605
"[3.19, 12.41, 6.02, 12.81, 12.65, 5.91, 13.65, 13.44, 5.37, 5.51, 5.93, 6.18, 12.56, 12.58, 12.95, 3.46, 3.31]",551
"[3.19, 12.41, 6.02, 12.81, 12.65, 5.91, 13.65, 13.44, 5.37, 5.51, 5.93, 6.18, 12.56, 12.58, 12.95, 3.46, 3.31]",551
"[5.51, 5.93, 6.18, 12.41, 12.58, 3.46, 3.19, 3.31, 12.65, 12.95, 12.81, 12.56, 6.02, 5.91, 13.65, 13.44, 5.37]",484
"[5.51, 5.93, 6.18, 12.41, 12.58, 3.46, 3.19, 3.31, 12.65, 12.95, 12.81, 12.56, 6.02, 5.91, 13.65, 13.44, 5.37]",484
"[6.02, 5.37, 5.51, 5.93, 5.91, 13.65, 13.44, 6.18, 12.41, 12.58, 3.46, 3.19, 3.31, 12.65, 12.95, 12.81, 12.56]",466
"[6.02, 5.37, 5.51, 5.93, 5.91, 13.65, 13.44, 6.18, 12.41, 12.58, 3.46, 3.19, 3.31, 12.65, 12.95, 12.81, 12.56]",466
"[6.02, 5.37, 5.51, 5.93, 5.91, 13.65, 13.44, 6.18, 12.41, 12.58, 3.46, 3.19, 3.31, 12.65, 12.95, 12.81, 12.56]",466
