x1,eval
"[1.61, 4.69, 6.13, 3.78, 0.01, 5.86, 5.34, 2.27]",4
"[1.61, 4.69, 6.13, 3.78, 0.01, 5.86, 5.34, 2.27]",4
"[1.61, 4.69, 6.13, 3.78, 0.01, 5.86, 5.34, 2.27]",4
"[1.61, 4.69, 6.13, 3.78, 0.01, 5.86, 5.34, 2.27]",4
"[1.61, 4.69, 6.13, 3.78, 0.01, 5.86, 5.34, 2.27]",4
"[1.61, 4.69, 6.13, 3.78, 0.01, 5.86, 5.34, 2.27]",4
"[1.61, 4.69, 6.13, 3.78, 0.01, 5.86, 5.34, 2.27]",4
"[1.61, 4.69, 6.13, 3.78, 0.01, 5.86, 5.34, 2.27]",4
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
"[6.13, 3.78, 0.01, 4.69, 1.61, 5.86, 5.34, 2.27]",2
