eval,fitness
5.05934439049825,0.1976536772909318
6.7964681582110025,0.14713502739530973
3.963242382658926,0.25231802152582194
2.4410480663254575,0.40965842385933376
2.4410480663254575,0.40965842385933376
1.6661318894830828,0.6001889792893017
1.9483737345291416,0.5132459187982629
1.997793182098782,0.5005498083897609
1.5840525378447303,0.6312882074470344
1.2237542887977106,0.81715082647366
0.9999415606927684,1.0000484416537119
0.008627444040744336,115.77499029606732
0.06664021827337763,15.003701801820418
0.03799370104715649,26.313226671243427
0.008238656691219148,121.23186082705067
0.008238656691219148,121.23186082705067
0.008627444040744336,115.77499029606732
0.008238656691219148,121.23186082705067
0.008238656691219148,121.23186082705067
0.004310831246201019,231.436948823036
0.006685441126421665,149.35535704343405
0.003685902980720357,270.56987296920147
0.004310831246201019,231.436948823036
0.0033110252566395104,301.1118322574527
0.004241395408659088,235.21688854516717
0.003685902980720357,270.56987296920147
0.0033110252566395104,301.1118322574527
0.002882501628800327,345.7214993565113
0.0019243432764142199,516.9713215814235
0.0007479329652149147,1319.3778947409237
0.0006447703491296863,1527.2530305154917
0.0005495431630464509,1787.1722255624884
0.0004602670653426344,2126.4512735362505
0.0002479891582147786,3876.131876702701
0.00021624672129050282,4419.953554668273
0.00021624672129050282,4419.953554668273
0.00021624672129050282,4419.953554668273
0.0002063271211127926,4622.628891171725
0.00020037535944439355,4753.408396501493
0.00020037535944439355,4753.408396501493
0.00019839143863009667,4798.661627241995
0.00019839143863009667,4798.661627241995
0.00019839143863009667,4798.661627241995
0.00011506724987242478,7995.698322462938
0.00011506724987242478,7995.698322462938
0.00019442393442048456,4891.795096473761
9.919588802631552e-05,9157.854000500516
0.00011506724987242478,7995.698322462938
9.721196720846592e-05,9327.316959454463
9.919588802631552e-05,9157.854000500516
1.983920347825574e-05,33512.95890752293
1.983920347825574e-05,33512.95890752293
9.919603300545532e-06,50201.80296324543
7.935682482695938e-06,55754.77827313146
7.935682482695938e-06,55754.77827313146
7.935682482695938e-06,55754.77827313146
7.935682482695938e-06,55754.77827313146
1.9839208178495937e-06,83445.14413934862
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
0.0,99999.99999999999
